0,1,2,3,4
1,97230141,78239093,97255086,94255043
1,88104120,84255039,92255057,94216059
1,93135123,84255037,93251061,92250054
1,100114154,91255071,96255125,95240104
1,92238117,93244046,94218090,94209089
1,95106111,98255066,93255077,93255059
1,88073102,70255015,92246054,92255054
1,94192093,69227018,86255075,84255065
1,92142131,71222046,90232067,88219071
2,101119060,100241075,96220133,102255080
2,100082134,102129071,97073224,101206147
2,100096175,100246090,101217100,103070225
2,85036085,93122134,96207116,105255058
2,91021255,100145120,96077199,100136131
2,99065074,70020078,95053111,91023246
2,115255018,106255058,99105163,112237042
2,101111119,102193091,82057205,91124146
2,30019110,96164045,101196086,91052255
3,56025081,24094255,55018087,104100120
3,105053096,30100087,105056082,22036157
3,103032055,42098047,75010051,96022057
3,111052064,54038094,83023044,13014124
3,106059065,57065043,101026080,98096040
3,104037090,29089254,101103067,110040115
3,101042085,27080250,101082084,105039117
3,113050081,74040070,99066073,55012131
3,104056086,74049068,115022070,50006133
