0,1,2,3,4,5,6,7,8,9,10,11,12
1,96238132,96237126,96255121,96238132,97239131,96249133,96246137,96247135,97221142,98171142,93255075,91255032
1,96131128,92255087,96131128,96255092,96131128,97249089,97132133,93255061,96131128,93243062,95113138,97255055
1,96140133,93255089,96140133,97247097,99129134,94252094,98128131,94255064,96140133,96228056,91071126,97255056
1,97121171,96255099,97121171,96252084,97136174,93255119,97121171,91168162,96253108,98114174,96253110,97255099
1,93115169,90230102,95133194,92188084,90198135,92203137,93213135,93192145,92076181,97224100,96209171,90233081
1,99098145,93240087,96149113,96201132,95212094,95157114,92172098,96255093,98120123,95248072,99117122,97249091
1,93168094,95255085,96052127,96242081,98077129,95255096,96052127,89172074,91148067,91126071,95255050,91188068
1,92206084,94186093,90255085,92206084,89255084,92206084,89221076,94218082,95174094,89255065,92206084,86251066
1,92245098,91238108,91248110,91233118,91251114,90241111,89204124,94180109,89223080,92107126,90233059,88222070
2,108255049,103090071,102233080,105091087,101150117,102209077,105111055,111249046,104093074,111255047,103090071,88095213
2,100105148,98067174,103241089,103054076,99128139,101163155,100080255,87035254,99075176,87057144,94072217,98029134
2,94044187,102207244,76055180,100088204,96101240,103212166,99055158,101116114,99161169,35026165,101156163,101223079
2,105124132,98255069,103131097,100167093,102210079,101152087,100144076,107070105,104255048,103131097,104255046,97179077
2,103251175,100072226,103246108,90030255,27042219,102200097,98127161,95068246,135034091,103167250,15032160,107038127
2,101088081,101077089,95047126,100064131,99082125,95051114,100090094,103096085,103063101,109068090,101037096,101076091
2,114239032,115255023,115255023,115255023,115255023,115255023,115255023,115255023,115255023,115255023,115255023,101009230
2,102100130,101198138,102147127,102238089,104080115,102205091,102142079,101157099,101169113,98132221,98179157,103255103
2,102121145,101120130,101121116,100139150,97074152,103222070,111024139,104120153,104251060,75004124,100210068,88102113
3,23064255,21080156,15037124,99031196,91061088,80020077,55024064,85044069,96014088,23065150,20143229,56023087
3,106109150,45022140,22081160,19020100,99051095,105092086,104028119,102078072,101087082,96019133,100116141,51012146
3,104037089,20008092,95048064,30009059,96030043,103066035,101052039,98062045,96026050,90028055,90024065,106041069
3,120007078,101026080,66019068,92083046,114023056,103043042,103057040,98056050,75011046,98060047,50013059,113068045
3,83016063,96044058,99103047,104091053,103087047,98064060,83020050,93050056,103090071,66017075,101040090,80034067
3,100066096,99047103,87019132,95046095,95060072,90039078,104070069,103055074,109024086,23032096,70020076,43037096
3,101045097,100051109,87021119,87024095,90057072,87028090,95060072,95055079,96014089,30020100,66028090,32031116
3,104046072,105059086,104027125,105051100,103039104,93036078,104037089,107079061,107068071,96039065,90019082,35017092
3,105050091,104052094,106025154,107070124,50010080,95078072,112040096,98082062,105077066,96035072,30006081,38030092
